"","V1","InChIKey","Name","mechanism_class","vip_max"
"27",27,"CWVRJTMFETXNAD-JUHZACGLSA-N","(1S_3R_4R_5R)-3-{[(2E)-3-(3_4-dihydroxyphenyl)-2-propenoyl]oxy}-1_4_5-trihydroxycyclohexanecarboxylic acid","Early_specific",1.6896
"28",28,"VANIIUGEHGLNHB-AATRIKPKSA-N","low score: 3-[(E)-2-(3-hydroxyphenyl)ethenyl]-5-methoxyphenol","Early_specific",1.6818
"29",29,"VXAHTPDZSOTOPQ-XCVCLJGOSA-N","low score: [6-[2-(3_4-dihydroxyphenyl)-8-hydroxy-4-oxochromen-7-yl]oxy-3_4_5-trihydroxyoxan-2-yl]methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate","Early_specific",1.6742
"30",30,"OZDABLANSWPSGY-UHFFFAOYSA-N","low score: NCGC00380876-01_C29H38O14_Methyl 1_4-bis(beta-D-glucopyranosyloxy)-3-(3-methyl-2-buten-1-yl)-2-naphthoate","Early_specific",1.6722
"31",31,"WKJDWDLHIOUPPL-JSOSNVBQSA-N","PS(14:0/14:0)","Early_specific",1.6653
"32",32,"ZGRZULFRVWCUPF-UHFFFAOYSA-N","low score: Nuezhenidic acid","Early_specific",1.6612
"33",33,"DBUOUVZMYWYRRI-YWEKDMGLSA-N","low score: verproside","Early_specific",1.6563
"34",34,"VXAHTPDZSOTOPQ-XCVCLJGOSA-N","low score: [6-[2-(3_4-dihydroxyphenyl)-8-hydroxy-4-oxochromen-7-yl]oxy-3_4_5-trihydroxyoxan-2-yl]methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate","Early_specific",1.649
"35",35,"PDEJWCOMIACOMR-UHFFFAOYSA-N","low score: Putative (3-hydroxyoctadecanoyl)glycine","Early_specific",1.6411
"36",36,"CRAONLIHLOSKGE-UHFFFAOYSA-N","low score: NCGC00347609-02!9-(2_3-dihydroxy-3-methylbutyl)-4-methoxyfuro[3_2-g]chromen-7-one [IIN-based on: CCMSLIB00000848055]","Early_specific",1.638
"37",37,"MZWQZYDNVSKPPF-ROUUACIJSA-N","low score: Isorangiformic acid","Early_specific",1.6306
"38",38,"XKAYFELZCPZDEK-IPOZFMEPSA-N","NCGC00385199-01!2-[3_4-bis[[(2S_3R_4S_5S_6R)-3_4_5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]phenyl]-5_7-dihydroxychromen-4-one","Early_specific",1.6295
"39",39,"ZISDTRGMDDVTKY-CZIZESTLSA-N","low score: NCGC00386025-01!hexadecyl (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate [IIN-based: Match]","Early_specific",1.6248
"40",40,"IKQSIKPOUMLPKK-UHFFFAOYSA-N","low score: NCGC00384949-01!2-(hydroxymethyl)-6-(2_20_21-trihydroxydocosan-3-yloxy)oxane-3_4_5-triol","Early_specific",1.6187
"41",41,"YFQNPQXDQIZKSV-BIYJUCAWSA-N","UNPD219755","Early_specific",1.6128
"42",42,"UTSXERRKRAEDOV-UHFFFAOYSA-O","low score: Amidosulfobetaine-14","Early_specific",1.6114
"43",43,"SNKAWJBJQDLSFF-YEUCEMRANA-N","PC(18:1(9Z)/18:1(9Z))","Early_specific",1.6061
"44",44,"NXQOQNROJJFYCJ-FZFXZXLVSA-N","androst-16-ene","Early_specific",1.6043
